Plot ,Image,Treatment (A vs B),Bare,Live,Old litter,Dead,Notes
663,3342,A,62,35,0,3,
663,3342,B ,35,15,4,45,
665,3343,A,40,57,0,3,
665,3343,B ,20,35,10,35,
667,3344,A,72,25,0,3,
667,3344,B ,30,20,10,40,
669,3345,A,80,15,0,5,
669,3345,B ,55,25,5,15,
671,3346,A,80,15,0,5,
671,3346,B ,20,55,10,15,
673,3347,A,77,20,0,3,
673,3347,B ,70,15,5,10,
675,3348,A,72,25,0,3,
675,3348,B ,10,50,10,30,
677,3349,A,50,45,0,5,
677,3349,B ,15,45,10,30,
679,3350,A,45,50,0,5,
679,3350,B ,15,40,5,40,
681,3351,A,75,20,0,5,
681,3351,B ,20,40,10,30,
683,3352,A,70,25,0,5,
